timestamp,weekday,hour,direction,line
2026-06-03T06:27:00+02:00,Mi,06,Praterstern,S3
2026-06-03T06:47:00+02:00,Mi,06,Meidling,S1
2026-06-03T07:20:00+02:00,Mi,07,Meidling,S3
2026-06-03T07:23:00+02:00,Mi,07,Meidling,CJX9
2026-06-03T07:57:00+02:00,Mi,07,Praterstern,S4
2026-06-03T08:30:00+02:00,Mi,08,Praterstern,S1
2026-06-03T09:27:00+02:00,Mi,09,Praterstern,S3
2026-06-03T10:02:00+02:00,Mi,10,Meidling,S3
2026-06-03T10:03:00+02:00,Mi,10,Praterstern,CJX9
2026-06-03T10:27:00+02:00,Mi,10,Praterstern,S3
2026-06-03T11:02:00+02:00,Mi,11,Meidling,S3
2026-06-03T11:57:00+02:00,Mi,11,Praterstern,S4
2026-06-03T12:30:00+02:00,Mi,12,Praterstern,REX1
2026-06-03T12:53:00+02:00,Mi,12,Meidling,CJX9
2026-06-03T12:57:00+02:00,Mi,12,Praterstern,S4
2026-06-03T13:02:00+02:00,Mi,13,Meidling,S3
2026-06-03T13:03:00+02:00,Mi,13,Praterstern,CJX9
2026-06-03T13:53:00+02:00,Mi,13,Meidling,CJX9
2026-06-03T14:03:00+02:00,Mi,14,Praterstern,CJX9
2026-06-03T14:32:00+02:00,Mi,14,Meidling,S4
2026-06-03T14:53:00+02:00,Mi,14,Meidling,CJX9
2026-06-03T15:57:00+02:00,Mi,15,Meidling,S4
2026-06-03T15:39:00+02:00,Mi,15,Praterstern,S3
2026-06-03T16:23:00+02:00,Mi,16,Meidling,CJX9
2026-06-03T17:03:00+02:00,Mi,17,Praterstern,REX2
2026-06-03T17:27:00+02:00,Mi,17,Praterstern,S3
2026-06-03T18:09:00+02:00,Mi,18,Meidling,REX3
2026-06-03T18:03:00+02:00,Mi,18,Praterstern,REX2
2026-06-03T18:33:00+02:00,Mi,18,Praterstern,CJX9
2026-06-03T19:20:00+02:00,Mi,19,Meidling,S3
2026-06-03T19:03:00+02:00,Mi,19,Praterstern,CJX9
2026-06-03T19:39:00+02:00,Mi,19,Praterstern,S1
2026-06-03T20:23:00+02:00,Mi,20,Meidling,S1
2026-06-03T20:32:00+02:00,Mi,20,Meidling,S4
2026-06-03T20:39:00+02:00,Mi,20,Meidling,REX3
2026-06-03T21:00:00+02:00,Mi,21,Praterstern,REX1
2026-06-03T21:17:00+02:00,Mi,21,Meidling,S1
2026-06-03T21:23:00+02:00,Mi,21,Meidling,S1
2026-06-03T21:20:00+02:00,Mi,21,Praterstern,S3
2026-06-03T21:27:00+02:00,Mi,21,Praterstern,S3
2026-06-03T21:39:00+02:00,Mi,21,Meidling,REX3
2026-06-03T21:47:00+02:00,Mi,21,Meidling,S1
2026-06-03T21:50:00+02:00,Mi,21,Meidling,S1
2026-06-03T22:09:00+02:00,Mi,22,Meidling,S1
2026-06-03T22:17:00+02:00,Mi,22,Meidling,S1
2026-06-03T22:09:00+02:00,Mi,22,Praterstern,S1
2026-06-03T22:12:00+02:00,Mi,22,Praterstern,S1
2026-06-03T22:20:00+02:00,Mi,22,Praterstern,S1
2026-06-03T22:39:00+02:00,Mi,22,Meidling,REX3
2026-06-03T22:47:00+02:00,Mi,22,Meidling,S1
2026-06-03T22:33:00+02:00,Mi,22,Praterstern,S1
2026-06-03T22:39:00+02:00,Mi,22,Praterstern,S1
2026-06-03T22:42:00+02:00,Mi,22,Praterstern,S1
2026-06-03T22:50:00+02:00,Mi,22,Praterstern,REX3
2026-06-03T23:17:00+02:00,Mi,23,Meidling,S1
2026-06-03T23:12:00+02:00,Mi,23,Praterstern,S1
2026-06-03T23:20:00+02:00,Mi,23,Praterstern,S1
2026-06-03T23:39:00+02:00,Mi,23,Meidling,REX3
2026-06-03T23:42:00+02:00,Mi,23,Praterstern,S1
2026-06-03T23:50:00+02:00,Mi,23,Praterstern,REX3
2026-06-04T00:12:00+02:00,Do,00,Praterstern,S1
2026-06-04T01:00:00+02:00,Do,01,Praterstern,REX1
2026-06-04T15:17:00+02:00,Do,15,Meidling,S1
2026-06-04T23:50:00+02:00,Do,23,Praterstern,REX3
2026-06-05T06:09:00+02:00,Fr,06,Praterstern,S3
2026-06-05T15:17:00+02:00,Fr,15,Meidling,S1
2026-06-05T19:42:00+02:00,Fr,19,Meidling,S2
2026-06-06T04:39:00+02:00,Sa,04,Meidling,REX3
2026-06-06T04:42:00+02:00,Sa,04,Meidling,S2
2026-06-06T04:57:00+02:00,Sa,04,Praterstern,S3
2026-06-06T05:12:00+02:00,Sa,05,Meidling,S2
2026-06-06T05:29:00+02:00,Sa,05,Meidling,REX1
2026-06-06T05:12:00+02:00,Sa,05,Praterstern,S1
2026-06-06T05:27:00+02:00,Sa,05,Praterstern,S2
2026-06-06T05:42:00+02:00,Sa,05,Meidling,S2
2026-06-06T05:45:00+02:00,Sa,05,Praterstern,S2
2026-06-06T05:50:00+02:00,Sa,05,Praterstern,REX3
2026-06-06T06:00:00+02:00,Sa,06,Praterstern,REX1
2026-06-06T06:12:00+02:00,Sa,06,Meidling,S2
2026-06-06T06:23:00+02:00,Sa,06,Meidling,REX92
